#,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1958,19/04/2015,850,833,831,833,-2,67,"55,781.00"
1957,21/04/2015,833,850,835,845,1.44,413,"3,48,285.00"
1956,22/04/2015,845,845,835,840,-0.59,50,"3,16,313.00"
1955,23/04/2015,852,852,840,843,-1.06,568,"4,80,908.00"
1954,02/06/2015,843,827,760,760,-9.85,232,"1,80,429.00"
1953,03/06/2015,760,806,750,806,6.05,"1,434","11,03,158.00"
1951,07/06/2015,812,835,815,835,2.83,53,"43,963.00"
1952,07/06/2015,806,827,812,812,0.74,283,"43,963.00"
1950,08/06/2015,835,851,825,826,-1.08,547,"4,55,612.00"
1949,09/06/2015,826,835,829,829,0.36,40,"33,340.00"
1948,10/06/2015,829,821,789,804,-3.02,"1,523","12,14,027.00"
1947,11/06/2015,804,804,789,795,-1.12,80,"63,600.00"
1946,14/06/2015,795,795,781,790,-0.63,334,"2,63,737.00"
1945,15/06/2015,790,794,766,792,0.25,"1,976","15,29,281.00"
1944,16/06/2015,792,792,777,777,-1.89,119,"92,787.00"
1943,17/06/2015,777,792,763,792,1.93,213,"1,67,516.00"
1942,18/06/2015,792,807,807,807,1.89,10,"8,070.00"
1941,22/06/2015,791,791,766,780,-3.35,488,"3,77,162.00"
1940,23/06/2015,780,780,780,780,0,22,"17,160.00"
1939,24/06/2015,780,780,772,774,-0.77,110,"85,180.00"
1938,25/06/2015,759,797,759,795,2.97,222,"1,73,405.00"
1937,28/06/2015,798,798,795,798,0.12,50,"39,840.00"
1936,29/06/2015,790,805,790,805,0.88,121,"96,465.00"
1935,30/06/2015,789,800,789,790,-1.86,130,"1,02,780.00"
1934,01/07/2015,781,782,781,782,-1.01,20,"15,630.00"
1933,02/07/2015,782,782,765,766,-2.05,487,"3,78,140.00"
1932,05/07/2015,755,755,741,753,-1.7,190,"1,42,980.00"
1931,06/07/2015,740,754,730,750,-0.4,402,"2,98,960.00"
1930,07/07/2015,760,780,760,780,4,253,"1,94,590.00"
1929,08/07/2015,795,810,794,794,1.79,60,"47,980.00"
1928,09/07/2015,800,820,800,820,3.27,"2,625","21,03,440.00"
1927,12/07/2015,836,880,830,875,7.32,"2,639","22,34,790.00"
1926,13/07/2015,890,925,890,900,2.27,"2,799","25,35,894.00"
1925,14/07/2015,915,916,885,900,0,845,"7,60,955.00"
1924,15/07/2015,890,915,890,915,1.67,"1,913","17,29,112.00"
1923,22/07/2015,929,963,921,960,3.34,835,"7,77,514.00"
1922,23/07/2015,960,975,935,935,-2.6,505,"4,85,300.00"
1921,27/07/2015,935,953,916,916,-2.03,233,"67,510.00"
1920,28/07/2015,916,900,834,834,-8.95,373,"3,23,670.00"
1919,29/07/2015,834,845,835,840,0.72,205,"1,72,068.00"
1918,30/07/2015,840,873,856,870,3.57,461,"3,97,012.00"
1917,02/08/2015,870,870,870,870,0,10,"8,700.00"
1916,03/08/2015,870,853,822,850,-2.3,417,"3,50,010.00"
1915,04/08/2015,850,884,825,860,1.18,"1,061","9,08,060.00"
1914,05/08/2015,860,880,860,871,1.28,488,"4,23,723.00"
1913,09/08/2015,842,850,827,830,-1.43,309,"2,60,525.00"
1912,10/08/2015,830,867,835,855,3.01,"1,371","11,73,666.00"
1911,11/08/2015,855,872,822,840,-1.75,918,"7,71,008.00"
1910,12/08/2015,840,840,830,835,-0.6,"1,144","9,57,441.00"
1909,13/08/2015,836,839,819,825,-1.2,"2,216","18,38,802.00"
1908,16/08/2015,825,833,775,781,-5.33,481,"3,92,238.00"
1907,17/08/2015,781,808,781,808,3.46,60,"47,520.00"
1906,18/08/2015,808,815,801,815,0.87,776,"6,28,892.00"
1905,19/08/2015,815,820,805,810,-0.61,739,"5,98,609.00"
1904,20/08/2015,794,815,790,804,-0.74,"1,483","11,85,477.00"
1903,23/08/2015,804,810,790,801,-0.37,"2,159","17,34,420.00"
1902,24/08/2015,817,817,817,817,2,10,"8,170.00"
1901,31/08/2015,833,833,833,833,1.96,10,"8,330.00"
1900,08/09/2015,849,865,849,865,3.84,113,"97,537.00"
1899,09/09/2015,861,861,861,861,-0.46,10,"8,610.00"
1898,10/09/2015,878,878,878,878,1.97,10,"8,780.00"
1897,13/09/2015,895,895,895,895,1.94,10,"8,950.00"
1896,15/09/2015,912,984,912,984,9.94,516,"5,05,404.00"
1895,16/09/2015,992,"1,010.00",992,"1,010.00",2.64,241,"2,41,227.00"
1894,24/09/2015,"1,000.00","1,000.00","1,000.00","1,000.00",-0.99,654,"6,54,000.00"
1893,29/09/2015,985,985,980,980,-2,120,"1,18,100.00"
1892,04/10/2015,999,999,999,999,1.94,41,"40,959.00"
1891,05/10/2015,980,980,941,945,-5.41,104,"99,526.00"
1890,06/10/2015,945,955,945,955,1.06,693,"6,60,935.00"
1889,07/10/2015,940,940,940,940,-1.57,41,"38,540.00"
1888,08/10/2015,958,970,955,970,3.19,231,"2,22,080.00"
1887,14/10/2015,951,951,944,944,-2.68,250,"2,36,350.00"
1886,15/10/2015,930,930,900,923,-2.22,"1,069","9,75,971.00"
1885,18/10/2015,929,929,900,900,-2.49,150,"1,35,620.00"
1884,19/10/2015,900,900,895,895,-0.56,152,"1,36,540.00"
1883,27/10/2015,895,895,861,861,-3.8,70,"62,140.00"
1882,28/10/2015,844,844,805,805,-6.5,70,"57,730.00"
1881,29/10/2015,800,815,800,815,1.24,61,"48,950.00"
1880,01/11/2015,800,800,800,800,-1.84,10,"8,000.00"
1879,02/11/2015,800,816,800,816,2,51,"41,456.00"
1878,03/11/2015,815,815,815,815,-0.12,100,"5,30,565.00"
1877,04/11/2015,799,799,799,799,-1.96,10,"7,990.00"
1876,05/11/2015,800,800,800,800,0.13,20,"16,000.00"
1875,08/11/2015,810,816,802,815,2,170,"1,37,085.00"
1874,09/11/2015,832,897,832,897,9.93,252,"2,21,069.00"
1873,10/11/2015,914,986,914,986,9.92,"2,340","22,86,134.00"
1872,15/11/2015,"1,005.00","1,005.00",956,990,0.41,"1,614","15,88,519.00"
1871,16/11/2015,971,975,970,975,-1.52,550,"5,35,000.00"
1870,18/11/2015,994,"1,001.00",985,"1,000.00",2.56,576,"5,73,410.00"
1869,19/11/2015,985,995,966,995,-0.5,353,"3,46,465.00"
1868,22/11/2015,978,978,961,961,-3.42,223,"2,16,832.00"
1867,23/11/2015,950,950,925,945,-1.14,988,"9,33,089.00"
1866,24/11/2015,969,969,969,969,2,21,"20,349.00"
1865,25/11/2015,975,975,974,975,0.62,234,"2,28,109.00"
1864,26/11/2015,956,956,945,949,-2.67,243,"2,31,233.00"
1863,30/11/2015,949,950,935,940,0.11,723,"6,83,050.00"
1862,01/12/2015,950,970,960,970,2.11,264,"2,55,468.00"
1861,02/12/2015,955,981,935,975,0.51,"1,421","13,50,090.00"
1860,03/12/2015,960,985,960,985,1.03,40,"39,090.00"
1859,06/12/2015,"1,004.00","1,055.00","1,004.00","1,050.00",7.11,"2,179","22,59,384.00"
1858,07/12/2015,"1,076.00","1,076.00","1,035.00","1,044.00",-1.04,432,"4,53,220.00"
1857,08/12/2015,"1,040.00","1,071.00","1,034.00","1,071.00",2.59,146,"1,52,710.00"
1856,09/12/2015,"1,092.00","1,178.00","1,092.00","1,178.00",9.99,"4,738","54,56,029.00"
1855,10/12/2015,"1,201.00","1,249.00","1,131.00","1,218.00",3.4,"2,345","28,14,702.00"
1854,13/12/2015,"1,194.00","1,194.00","1,160.00","1,161.00",-4.68,"1,424","16,66,925.00"
1853,14/12/2015,"1,161.00","1,268.00","1,161.00","1,268.00",9.22,"2,824","34,60,412.00"
1852,15/12/2015,"1,245.00","1,300.00","1,245.00","1,300.00",2.52,"2,674","33,59,303.00"
1851,16/12/2015,"1,300.00","1,430.00","1,298.00","1,430.00",10,"5,714","79,94,503.00"
1850,17/12/2015,"1,458.00","1,573.00","1,458.00","1,573.00",10,"4,117","64,70,265.00"
1848,21/12/2015,"1,688.00","1,688.00","1,530.00","1,560.00",-7.58,"3,050","48,03,914.00"
1849,21/12/2015,"1,573.00","1,730.00","1,600.00","1,688.00",7.31,"9,264","48,03,914.00"
1847,22/12/2015,"1,565.00","1,690.00","1,565.00","1,660.00",6.41,"3,579","58,64,367.00"
1846,23/12/2015,"1,660.00","1,650.00","1,598.00","1,650.00",-0.6,780,"12,62,344.00"
1845,24/12/2015,"1,650.00","1,688.00","1,622.00","1,660.00",0.61,"4,427","73,59,169.00"
1844,28/12/2015,"1,509.00","1,570.00","1,509.00","1,531.00",1.46,661,"10,20,552.00"
1843,29/12/2015,"1,531.00","1,575.00","1,505.00","1,565.00",2.22,641,"9,95,970.00"
1842,31/12/2015,"1,565.00","1,660.00","1,565.00","1,660.00",6.07,"2,321","37,52,450.00"
1841,03/01/2016,"1,692.00","1,826.00","1,692.00","1,826.00",10,"2,563","44,38,701.00"
1840,04/01/2016,"1,826.00","1,899.00","1,757.00","1,800.00",-1.42,"1,010","18,64,729.00"
1839,05/01/2016,"1,800.00","1,836.00","1,770.00","1,770.00",-1.67,620,"11,02,005.00"
1838,06/01/2016,"1,760.00","1,780.00","1,745.00","1,756.00",-0.79,199,"3,50,280.00"
1837,07/01/2016,"1,760.00","1,761.00","1,750.00","1,761.00",0.28,127,"2,23,120.00"
1836,10/01/2016,"1,761.00","1,752.00","1,740.00","1,750.00",-0.62,981,"17,13,550.00"
1835,11/01/2016,"1,725.00","1,740.00","1,725.00","1,725.00",-1.43,415,"7,19,475.00"
1834,12/01/2016,"1,700.00","1,734.00","1,700.00","1,720.00",-0.29,789,"13,56,050.00"
1833,13/01/2016,"1,720.00","1,823.00","1,754.00","1,823.00",5.99,551,"9,80,239.00"
1832,14/01/2016,"1,823.00","1,823.00","1,781.00","1,790.00",-1.81,"1,025","18,29,705.00"
1831,17/01/2016,"1,790.00","1,800.00","1,776.00","1,776.00",-0.78,312,"7,40,628.00"
1830,18/01/2016,"1,825.00","1,830.00","1,810.00","1,829.00",1.61,174,"3,17,377.00"
1829,19/01/2016,"1,800.00","1,854.00","1,800.00","1,854.00",1.37,598,"10,99,329.00"
1828,20/01/2016,"1,855.00","1,890.00","1,855.00","1,890.00",1.94,"1,266","23,78,582.00"
1826,24/01/2016,"1,955.00","2,074.00","1,951.00","2,074.00",6.09,"1,785","35,91,526.00"
1827,24/01/2016,"1,890.00","1,965.00","1,900.00","1,955.00",3.44,"1,290","35,91,526.00"
1825,28/01/2016,"2,050.00","2,050.00","1,995.00","1,995.00",-3.81,110,"2,22,600.00"
1824,31/01/2016,"1,990.00","2,084.00","1,990.00","2,084.00",4.46,"1,247","25,64,986.00"
1823,01/02/2016,"2,084.00","2,200.00","2,110.00","2,155.00",3.41,801,"17,12,612.00"
1822,02/02/2016,"2,155.00","2,155.00","2,100.00","2,100.00",-2.55,971,"20,55,984.00"
1821,03/02/2016,"2,100.00","2,082.00","2,019.00","2,019.00",-3.86,"3,197","65,22,970.00"
1820,04/02/2016,"2,040.00","2,101.00","2,017.00","2,017.00",-0.1,"2,244","46,23,138.00"
1819,07/02/2016,"2,017.00","2,090.00","2,031.00","2,090.00",3.62,810,"16,75,840.00"
1816,14/02/2016,"2,060.00","2,076.00","2,060.00","2,075.00",-0.72,290,"6,01,560.00"
1817,14/02/2016,"2,090.00","2,120.00","2,080.00","2,120.00",1.44,503,"6,01,560.00"
1818,14/02/2016,"2,120.00","2,120.00","2,090.00","2,090.00",-1.42,996,"6,01,560.00"
1815,15/02/2016,"2,050.00","2,050.00","1,980.00","2,000.00",-3.61,890,"17,76,580.00"
1814,16/02/2016,"2,000.00","2,080.00","2,000.00","2,060.00",3,775,"15,84,118.00"
1813,17/02/2016,"2,060.00","2,091.00","2,050.00","2,050.00",-0.49,737,"15,22,865.00"
1812,18/02/2016,"2,050.00","2,050.00","2,000.00","2,040.00",-0.49,"1,944","39,28,828.00"
1811,22/02/2016,"2,050.00","2,050.00","2,025.00","2,025.00",0.75,580,"11,84,250.00"
1810,23/02/2016,"2,025.00","2,050.00","2,000.00","2,030.00",0.25,793,"16,07,960.00"
1809,24/02/2016,"2,020.00","2,030.00","2,020.00","2,020.00",-0.49,"1,191","24,08,790.00"
1808,25/02/2016,"2,005.00","2,045.00","2,005.00","2,039.00",1.24,381,"7,72,925.00"
1807,28/02/2016,"2,045.00","2,085.00","2,050.00","2,085.00",1.96,866,"17,86,666.00"
1806,29/02/2016,"2,085.00","2,168.00","2,058.00","2,115.00",1.44,"1,753","37,10,859.00"
1805,01/03/2016,"2,157.00","2,180.00","2,130.00","2,170.00",2.6,"1,342","29,04,069.00"
1804,02/03/2016,"2,180.00","2,195.00","2,151.00","2,165.00",-0.23,"1,051","22,88,700.00"
1803,03/03/2016,"2,200.00","2,230.00","2,200.00","2,215.00",3,"1,113","24,60,843.00"
1802,06/03/2016,"2,273.00","2,274.00","2,225.00","2,274.00",1.97,373,"8,39,676.00"
1801,10/03/2016,"2,319.00","2,455.00","2,300.00","2,406.00",5.8,889,"20,98,704.00"
1800,13/03/2016,"2,400.00","2,400.00","2,390.00","2,400.00",-0.25,350,"8,39,250.00"
1799,14/03/2016,"2,400.00","2,400.00","2,341.00","2,342.00",-2.42,179,"4,20,611.00"
1798,15/03/2016,"2,296.00","2,400.00","2,265.00","2,400.00",2.48,837,"19,82,960.00"
1797,16/03/2016,"2,400.00","2,400.00","2,370.00","2,370.00",-1.25,131,"3,13,300.00"
1796,17/03/2016,"2,360.00","2,410.00","2,360.00","2,360.00",-0.42,"1,780","42,79,800.00"
1795,20/03/2016,"2,350.00","2,401.00","2,350.00","2,400.00",1.69,893,"21,25,255.00"
1794,21/03/2016,"2,400.00","2,400.00","2,366.00","2,398.00",0,"1,494","35,74,760.00"
1793,23/03/2016,"2,390.00","2,390.00","2,344.00","2,365.00",-1.25,"1,184","27,88,344.00"
1792,24/03/2016,"2,370.00","2,348.00","2,330.00","2,330.00",-1.69,181,"4,23,830.00"
1791,27/03/2016,"2,330.00","2,300.00","2,270.00","2,270.00",-2.58,321,"7,32,744.00"
1790,28/03/2016,"2,270.00","2,330.00","2,250.00","2,330.00",2.64,"1,214","27,84,375.00"
1788,30/03/2016,"2,300.00","2,350.00","2,256.00","2,340.00",1.74,214,"4,95,110.00"
1789,30/03/2016,"2,330.00","2,330.00","2,240.00","2,300.00",-1.29,688,"4,95,110.00"
1787,31/03/2016,"2,340.00","2,350.00","2,295.00","2,321.00",-0.81,374,"8,69,833.00"
1786,03/04/2016,"2,321.00","2,320.00","2,275.00","2,320.00",-0.04,137,"3,15,240.00"
1785,04/04/2016,"2,320.00","2,425.00","2,300.00","2,425.00",4.53,417,"9,86,434.00"
1784,06/04/2016,"2,345.00","2,350.00","2,299.00","2,350.00",0.21,829,"19,42,192.00"
1783,10/04/2016,"2,350.00","2,361.00","2,315.00","2,315.00",-1.49,136,"3,20,250.00"
1782,11/04/2016,"2,315.00","2,375.00","2,330.00","2,375.00",2.59,160,"3,76,400.00"
1781,12/04/2016,"2,375.00","2,360.00","2,350.00","2,360.00",-0.63,345,"8,12,080.00"
1780,14/04/2016,"2,360.00","2,407.00","2,360.00","2,400.00",1.69,412,"9,88,060.00"
1779,17/04/2016,"2,410.00","2,480.00","2,409.00","2,479.00",3.33,"2,114","51,75,300.00"
1778,18/04/2016,"2,480.00","2,530.00","2,485.00","2,515.00",1.41,"1,489","37,42,831.00"
1777,19/04/2016,"2,515.00","2,550.00","2,450.00","2,500.00",-0.6,768,"19,16,130.00"
1776,20/04/2016,"2,500.00","2,514.00","2,460.00","2,502.00",0.08,771,"19,27,461.00"
1775,21/04/2016,"2,502.00","2,495.00","2,460.00","2,495.00",-0.28,370,"9,17,450.00"
1774,24/04/2016,"2,495.00","2,452.00","2,450.00","2,452.00",-1.72,75,"1,83,855.00"
1773,25/04/2016,"2,452.00","2,580.00","2,500.00","2,550.00",4,732,"18,73,400.00"
1772,26/04/2016,"2,550.00","2,550.00","2,476.00","2,476.00",-2.9,623,"15,66,080.00"
1771,27/04/2016,"2,476.00","2,520.00","2,470.00","2,470.00",-0.24,"1,982","49,31,447.00"
1770,28/04/2016,"2,470.00","2,569.00","2,500.00","2,530.00",2.43,969,"24,60,335.00"
1769,02/05/2016,"2,530.00","2,530.00","2,480.00","2,500.00",-1.19,871,"21,88,275.00"
1768,03/05/2016,"2,500.00","2,480.00","2,421.00","2,435.00",-2.6,655,"16,04,375.00"
1767,04/05/2016,"2,435.00","2,450.00","2,421.00","2,421.00",-0.57,102,"2,47,800.00"
1766,05/05/2016,"2,421.00","2,500.00","2,450.00","2,450.00",1.2,187,"4,63,600.00"
1765,08/05/2016,"2,450.00","2,470.00","2,385.00","2,450.00",0,"1,054","25,75,546.00"
1764,09/05/2016,"2,460.00","2,490.00","2,460.00","2,480.00",1.63,853,"21,19,940.00"
1763,10/05/2016,"2,535.00","2,535.00","2,480.00","2,490.00",0,405,"10,15,725.00"
1762,11/05/2016,"2,490.00","2,490.00","2,450.00","2,450.00",-1.61,223,"5,49,790.00"
1761,12/05/2016,"2,450.00","2,470.00","2,445.00","2,450.00",0,518,"12,69,795.00"
1760,15/05/2016,"2,450.00","2,500.00","2,450.00","2,500.00",2.04,741,"18,49,459.00"
1759,16/05/2016,"2,500.00","2,500.00","2,467.00","2,480.00",-0.8,"1,736","43,14,965.00"
1758,17/05/2016,"2,500.00","2,550.00","2,490.00","2,550.00",2.82,242,"6,12,700.00"
1757,18/05/2016,"2,550.00","2,575.00","2,540.00","2,575.00",0.98,317,"8,10,649.00"
1756,19/05/2016,"2,575.00","2,625.00","2,595.00","2,601.00",1.01,428,"11,18,350.00"
1755,22/05/2016,"2,601.00","2,625.00","2,600.00","2,600.00",-0.04,803,"20,93,081.00"
1754,23/05/2016,"2,600.00","2,682.00","2,600.00","2,670.00",2.69,181,"4,76,600.00"
1753,24/05/2016,"2,670.00","2,790.00","2,669.00","2,790.00",4.49,"1,477","40,05,498.00"
1752,25/05/2016,"2,790.00","2,900.00","2,790.00","2,870.00",2.87,"2,539","72,49,599.00"
1751,26/05/2016,"2,870.00","2,875.00","2,800.00","2,850.00",-0.7,"1,098","31,14,455.00"
1750,29/05/2016,"2,850.00","2,850.00","2,800.00","2,800.00",-1.75,449,"12,60,788.00"
1749,30/05/2016,"2,800.00","2,801.00","2,790.00","2,800.00",0,436,"12,20,612.00"
1748,02/06/2016,"2,850.00","2,949.00","2,800.00","2,856.00",0.21,"1,156","32,87,972.00"
1747,05/06/2016,"2,856.00","2,801.00","2,650.00","2,705.00",-5.29,641,"17,46,680.00"
1746,06/06/2016,"2,705.00","2,775.00","2,710.00","2,775.00",2.59,544,"15,04,730.00"
1745,07/06/2016,"2,800.00","2,860.00","2,800.00","2,850.00",2.7,409,"11,55,585.00"
1744,08/06/2016,"2,850.00","2,900.00","2,860.00","2,890.00",1.4,413,"11,91,530.00"
1743,09/06/2016,"2,850.00","2,930.00","2,850.00","2,900.00",0.35,524,"15,20,630.00"
1742,12/06/2016,"2,900.00","3,121.00","2,895.00","3,100.00",6.9,"1,883","57,65,266.00"
1741,13/06/2016,"3,100.00","3,110.00","3,030.00","3,100.00",0,"2,016","62,09,995.00"
1740,14/06/2016,"3,162.00","3,264.00","3,050.00","3,100.00",0,"2,006","63,67,134.00"
1739,15/06/2016,"3,100.00","3,100.00","3,010.00","3,010.00",-2.9,265,"8,07,124.00"
1738,16/06/2016,"3,010.00","3,100.00","3,009.00","3,038.00",0.93,683,"21,05,729.00"
1737,19/06/2016,"3,038.00","3,010.00","2,945.00","3,010.00",-0.92,132,"3,94,120.00"
1736,20/06/2016,"3,010.00","3,193.00","3,011.00","3,193.00",6.08,546,"16,96,345.00"
1735,21/06/2016,"3,193.00","3,195.00","3,117.00","3,184.00",-0.28,928,"29,28,655.00"
1734,22/06/2016,"3,121.00","3,264.00","3,121.00","3,250.00",2.07,"1,335","42,89,809.00"
1733,23/06/2016,"3,250.00","3,315.00","3,249.00","3,249.00",-0.03,182,"5,98,365.00"
1732,26/06/2016,"3,249.00","3,250.00","3,201.00","3,230.00",-0.58,290,"9,40,010.00"
1731,27/06/2016,"3,230.00","3,240.00","3,150.00","3,240.00",0.31,749,"23,89,589.00"
1730,28/06/2016,"3,240.00","3,176.00","3,176.00","3,176.00",-1.98,10,"31,760.00"
1729,29/06/2016,"3,176.00","3,220.00","3,150.00","3,220.00",1.39,"1,270","40,63,130.00"
1728,30/06/2016,"3,220.00","3,350.00","3,226.00","3,286.00",2.05,337,"11,10,732.00"
1727,03/07/2016,"3,286.00","3,418.00","3,286.00","3,418.00",4.02,308,"10,37,090.00"
1726,04/07/2016,"3,418.00","3,450.00","3,385.00","3,385.00",-0.97,496,"16,87,045.00"
1725,05/07/2016,"3,385.00","3,400.00","3,241.00","3,241.00",-4.25,"1,234","40,48,760.00"
1724,06/07/2016,"3,200.00","3,299.00","3,200.00","3,299.00",1.79,888,"28,89,380.00"
1723,10/07/2016,"3,299.00","3,399.00","3,330.00","3,399.00",3.03,869,"29,23,680.00"
1722,11/07/2016,"3,399.00","3,450.00","3,300.00","3,300.00",-2.91,812,"27,29,850.00"
1721,12/07/2016,"3,300.00","3,300.00","3,100.00","3,110.00",-5.76,831,"26,31,790.00"
1719,14/07/2016,"3,110.00","3,230.00","3,050.00","3,230.00",3.86,"2,586","52,21,260.00"
1720,14/07/2016,"3,200.00","3,355.00","3,200.00","3,355.00",3.87,"1,569","52,21,260.00"
1718,18/07/2016,"3,355.00","3,288.00","3,020.00","3,020.00",-9.99,877,"26,66,420.00"
1717,19/07/2016,"3,020.00","3,020.00","2,796.00","2,950.00",-2.32,"3,819","1,10,60,167.00"
1716,20/07/2016,"2,891.00","2,958.00","2,745.00","2,958.00",0.27,"2,061","58,02,997.00"
1715,21/07/2016,"2,958.00","2,920.00","2,842.00","2,900.00",-1.96,"1,890","54,64,167.00"
1714,25/07/2016,"2,900.00","3,065.00","2,870.00","3,065.00",5.69,"2,258","66,86,968.00"
1713,26/07/2016,"3,065.00","3,162.00","3,006.00","3,099.00",1.11,"1,410","43,58,116.00"
1711,28/07/2016,"3,099.00","3,223.00","3,060.00","3,200.00",3.26,"1,342","26,78,974.00"
1712,28/07/2016,"3,200.00","3,300.00","3,200.00","3,250.00",1.56,826,"26,78,974.00"
1710,31/07/2016,"3,250.00","3,250.00","3,200.00","3,200.00",-1.54,778,"25,00,056.00"
1709,01/08/2016,"3,200.00","3,200.00","3,150.00","3,165.00",-1.09,533,"16,98,120.00"
1708,02/08/2016,"3,165.00","3,125.00","3,102.00","3,120.00",-1.42,81,"2,52,301.00"
1707,03/08/2016,"3,120.00","3,140.00","2,997.00","3,100.00",-0.64,"1,586","48,71,835.00"
1706,04/08/2016,"3,100.00","3,100.00","3,040.00","3,050.00",-1.61,246,"7,52,979.00"
1705,07/08/2016,"3,050.00","3,100.00","2,975.00","2,975.00",-2.46,394,"12,01,046.00"
1704,11/08/2016,"2,901.00","3,000.00","2,901.00","3,000.00",1.69,396,"11,58,811.00"
1703,14/08/2016,"2,961.00","2,961.00","2,850.00","2,850.00",-5,503,"14,55,393.00"
1702,15/08/2016,"2,850.00","2,890.00","2,850.00","2,875.00",0.88,51,"1,46,425.00"
1701,16/08/2016,"2,932.00","2,990.00","2,932.00","2,950.00",2.61,176,"5,23,020.00"
1700,17/08/2016,"2,900.00","2,958.00","2,900.00","2,920.00",-1.02,229,"6,70,496.00"
1699,21/08/2016,"2,920.00","2,921.00","2,900.00","2,900.00",-0.68,255,"7,42,820.00"
1698,22/08/2016,"2,900.00","2,920.00","2,885.00","2,885.00",-0.52,972,"28,18,520.00"
1697,23/08/2016,"2,942.00","2,942.00","2,850.00","2,850.00",-1.21,397,"11,39,730.00"
1696,24/08/2016,"2,850.00","2,940.00","2,850.00","2,940.00",3.16,168,"4,84,840.00"
1695,28/08/2016,"2,998.00","2,998.00","2,998.00","2,998.00",1.97,21,"62,958.00"
1694,29/08/2016,"2,940.00","2,970.00","2,940.00","2,970.00",-0.93,165,"4,86,150.00"
1693,30/08/2016,"3,029.00","3,245.00","2,980.00","3,215.00",8.25,"2,321","73,61,130.00"
1692,31/08/2016,"3,220.00","3,405.00","3,220.00","3,405.00",5.91,"1,142","37,68,930.00"
1691,01/09/2016,"3,404.00","3,404.00","3,340.00","3,350.00",-1.62,843,"28,35,505.00"
1690,04/09/2016,"3,352.00","3,417.00","3,300.00","3,315.00",-1.04,"2,298","76,78,110.00"
1689,05/09/2016,"3,300.00","3,380.00","3,300.00","3,300.00",-0.45,"1,533","50,89,591.00"
1688,06/09/2016,"3,365.00","3,400.00","3,236.00","3,236.00",-1.94,"3,094","1,02,53,275.00"
1687,07/09/2016,"3,300.00","3,350.00","3,140.00","3,200.00",-1.11,"4,982","1,60,24,182.00"
1686,08/09/2016,"3,200.00","3,300.00","3,171.00","3,250.00",1.56,"10,116","3,25,88,011.00"
1685,11/09/2016,"1,675.00","1,842.00","1,708.00","1,842.00",9.97,"5,257","96,67,058.00"
1684,12/09/2016,"1,878.00","2,000.00","1,878.00","2,000.00",8.58,"8,946","1,76,54,068.00"
1683,14/09/2016,"2,040.00","2,040.00","1,920.00","1,933.00",-3.35,"2,642","52,35,081.00"
1682,18/09/2016,"1,900.00","1,900.00","1,795.00","1,821.00",-5.79,"1,731","31,83,057.00"
1681,20/09/2016,"1,821.00","1,821.00","1,785.00","1,785.00",-1.98,362,"6,49,041.00"
1680,21/09/2016,"1,775.00","1,820.00","1,775.00","1,800.00",0.84,641,"11,53,110.00"
1679,22/09/2016,"1,770.00","1,795.00","1,764.00","1,764.00",-2,140,"2,47,550.00"
1678,26/09/2016,"1,715.00","1,801.00","1,715.00","1,720.00",-1.71,938,"16,35,731.00"
1677,27/09/2016,"1,690.00","1,719.00","1,670.00","1,690.00",-1.74,774,"13,09,720.00"
1676,28/09/2016,"1,695.00","1,728.00","1,695.00","1,728.00",2.25,110,"1,87,260.00"
1675,29/09/2016,"1,735.00","1,735.00","1,701.00","1,701.00",-1.56,60,"1,02,400.00"
1674,02/10/2016,"1,675.00","1,675.00","1,667.00","1,670.00",-1.82,234,"3,90,984.00"
1673,03/10/2016,"1,681.00","1,681.00","1,640.00","1,640.00",-1.8,608,"10,21,206.00"
1672,04/10/2016,"1,620.00","1,620.00","1,620.00","1,620.00",-1.22,11,"17,820.00"
1671,05/10/2016,"1,650.00","1,680.00","1,650.00","1,680.00",3.7,144,"2,41,020.00"
1670,06/10/2016,"1,647.00","1,747.00","1,620.00","1,715.00",2.08,211,"3,56,042.00"
1669,16/10/2016,"1,728.00","1,728.00","1,728.00","1,728.00",0.76,101,"1,74,528.00"
1668,17/10/2016,"1,700.00","1,715.00","1,650.00","1,680.00",-2.78,591,"9,89,915.00"
1667,18/10/2016,"1,650.00","1,650.00","1,650.00","1,650.00",-1.79,10,"16,500.00"
1666,19/10/2016,"1,650.00","1,675.00","1,650.00","1,675.00",1.52,41,"68,100.00"
1665,20/10/2016,"1,660.00","1,660.00","1,650.00","1,650.00",-1.49,233,"3,85,703.00"
1664,23/10/2016,"1,650.00","1,650.00","1,617.00","1,617.00",-2,356,"5,76,800.00"
1663,24/10/2016,"1,630.00","1,630.00","1,610.00","1,625.00",0.49,693,"11,24,550.00"
1662,25/10/2016,"1,615.00","1,615.00","1,575.00","1,580.00",-2.77,313,"5,00,195.00"
1661,26/10/2016,"1,601.00","1,602.00","1,580.00","1,585.00",0.32,579,"9,17,710.00"
1660,27/10/2016,"1,560.00","1,590.00","1,540.00","1,545.00",-2.52,597,"9,25,819.00"
1659,03/11/2016,"1,520.00","1,520.00","1,500.00","1,510.00",-2.27,70,"1,05,485.00"
1658,07/11/2016,"1,540.00","1,661.00","1,540.00","1,661.00",10,332,"5,42,822.00"
1657,08/11/2016,"1,694.00","1,805.00","1,694.00","1,779.00",7.1,"2,584","45,39,385.00"
